font_id,family,weight,family_class,popularity,gf_last_modified,ttf_path,sha256
Roboto-400,Roboto,400,sans-serif,2,2026-02-19,data/fonts/Roboto-400.ttf,dece7c71bbe61710787f0839c722c65e87355dd2eb4a823e6b5488121ff81e4b
OpenSans-400,Open Sans,400,sans-serif,3,2025-09-16,data/fonts/OpenSans-400.ttf,47ed1cfaa7ffca04a04ab850b2938fd52c09d1b44cfa3e2980878e166b0cbd87
GoogleSans-400,Google Sans,400,sans-serif,4,2026-07-22,data/fonts/GoogleSans-400.ttf,1db8fe3048d1b15519999c1b0372285ded006bf49e109455df1a09e42876ec64
Inter-400,Inter,400,sans-serif,5,2025-09-10,data/fonts/Inter-400.ttf,1b08e7fc267a5c7e1d614100f604b83e7e8a0be241f0f288faa2b3ac93a683ba
Montserrat-400,Montserrat,400,sans-serif,7,2025-09-04,data/fonts/Montserrat-400.ttf,84f3d3275dfb159dd311c61828fd754a82ec31c377120518e2cd3e7d34394e96
Poppins-400,Poppins,400,sans-serif,8,2025-09-16,data/fonts/Poppins-400.ttf,cdedb1729acac414ed01744a11da7badb86adf13108e7bd3fa161b9323f7fe54
Lato-400,Lato,400,sans-serif,9,2025-09-16,data/fonts/Lato-400.ttf,f43f1c7780d69792278f04b136c934a0298fc66f2e974bac13dd2e53adc52bde
RobotoCondensed-400,Roboto Condensed,400,sans-serif,15,2025-09-11,data/fonts/RobotoCondensed-400.ttf,ef9d48725ff2bd72cd569ca50555fb781f99cf8f3a88a3bb3c8a4c85fd574458
RobotoMono-400,Roboto Mono,400,monospace,16,2026-05-05,data/fonts/RobotoMono-400.ttf,329949c551e04130eeb43580e149a2d548090e71359d05d925329ae123fac5c9
Arimo-400,Arimo,400,sans-serif,17,2026-05-18,data/fonts/Arimo-400.ttf,e5717ff6c2063b0e596176ddad929b0a98a6d8db694f43a8ba26c99675625b67
Oswald-400,Oswald,400,sans-serif,19,2025-09-11,data/fonts/Oswald-400.ttf,bd6ff5a83bcdc92d7aac6dbb16e4dd2b0b0320bec6402bb81f5dd9735b500e46
DMSans-400,DM Sans,400,sans-serif,21,2025-09-11,data/fonts/DMSans-400.ttf,b0ae3e89a7d3ef2b1838bb4b1ceb0b17cc3435af061eee809d76aa623ff116e9
Raleway-400,Raleway,400,sans-serif,23,2025-09-10,data/fonts/Raleway-400.ttf,943300b002516feaf028c27aceaa2f473f2e1c0229ed913652a406d43277d9ba
Nunito-400,Nunito,400,sans-serif,24,2025-09-16,data/fonts/Nunito-400.ttf,9ecbdba35fa74f10a1a916c31649b802a12deb9e66c7b1fe4650afcfd4d16971
NunitoSans-400,Nunito Sans,400,sans-serif,25,2025-09-16,data/fonts/NunitoSans-400.ttf,a699fa825cd47524461c459a54fe3cd51eb13e1e76ba238fe6ea86932979a808
PlayfairDisplay-400,Playfair Display,400,serif,26,2025-09-11,data/fonts/PlayfairDisplay-400.ttf,1609a54fa3ad1abc8d0037132f73700333241ea0b65672079998e352f151dea7
RobotoSlab-400,Roboto Slab,400,serif,28,2025-09-08,data/fonts/RobotoSlab-400.ttf,1c33d32c3a4288959f47c6909e8ddface1a7b199d0025e0191392d4d88eb8224
Rubik-400,Rubik,400,sans-serif,29,2025-09-10,data/fonts/Rubik-400.ttf,cc6a4222027f8e57ff86a50c5ba88f12326d7223bde9bf6531538633ebad3343
Ubuntu-400,Ubuntu,400,sans-serif,31,2025-09-02,data/fonts/Ubuntu-400.ttf,bfd3c550f0552ddfc6070f6c4955a19dd560527647accd41506b9622d7f1358f
Manrope-400,Manrope,400,sans-serif,32,2025-09-04,data/fonts/Manrope-400.ttf,a13d9b41b0a471ce58f0e46d377fa3cc76615e4632c3b15eb397caadf7a13f0a
Outfit-400,Outfit,400,sans-serif,33,2025-09-04,data/fonts/Outfit-400.ttf,6a8c9be856a6b9e09c66615634904616152c9de5e44db343a3ced240479c586a
Kanit-400,Kanit,400,sans-serif,34,2025-09-11,data/fonts/Kanit-400.ttf,0b101fdc1a77fb29137731819bf164b3e9b4da19b22a7b2295f0e233c53c486d
ArchivoBlack-400,Archivo Black,400,sans-serif,35,2025-09-11,data/fonts/ArchivoBlack-400.ttf,355b89d43e95edd50a58dad2029689c56027ef19cf9f2f03c9d3605e87ee182e
Merriweather-400,Merriweather,400,serif,36,2025-09-02,data/fonts/Merriweather-400.ttf,e029d3b71e5bae3877c73f4f2b15af28db16593d49b0aed2a328d37ff7075846
Lora-400,Lora,400,serif,38,2025-09-11,data/fonts/Lora-400.ttf,1d37d1e34c77be80f0119754ad78df9aad30d5b1c78132a4cbdac0fe567f5d4f
WorkSans-400,Work Sans,400,sans-serif,39,2025-09-11,data/fonts/WorkSans-400.ttf,a131e7022b34ef1950a9d6bdda16f5d4509cc1fe1af5991a4552febd2a4027e5
PlusJakartaSans-400,Plus Jakarta Sans,400,sans-serif,40,2025-09-10,data/fonts/PlusJakartaSans-400.ttf,076831b98043f50f829b6c91db3be4a844641f1c95bccff5c886ed87c661a852
Quicksand-400,Quicksand,400,sans-serif,41,2025-09-02,data/fonts/Quicksand-400.ttf,0977c1d9781e03adfc1b120b3b60b6c4db776b5261e801ec881549cd17894351
PTSans-400,PT Sans,400,sans-serif,42,2025-09-04,data/fonts/PTSans-400.ttf,fd416bbea21b05983676b0336d56efd9c782e5ff715ce1d1d542cee20cfbca11
Figtree-400,Figtree,400,sans-serif,43,2025-09-11,data/fonts/Figtree-400.ttf,81f3fc9d8d4e307e5ae0dd43a03d22eb90d50b6cc72241552c460a59b6731b31
BebasNeue-400,Bebas Neue,400,sans-serif,44,2025-09-16,data/fonts/BebasNeue-400.ttf,939fea723dad24504f40faadc34eeffadfbbee558754f70c3c736e13786b0ab6
Mulish-400,Mulish,400,sans-serif,46,2025-09-08,data/fonts/Mulish-400.ttf,46ee5f47fed537401cd92c16b666fccd05140bab39a0390a9b90ee1040c31af9
SourceSans3-400,Source Sans 3,400,sans-serif,47,2025-09-04,data/fonts/SourceSans3-400.ttf,b6f2cc8d9905e97b5cd7a294367bb529814385f299fb23057060394cbd6bbffb
Archivo-400,Archivo,400,sans-serif,48,2025-09-08,data/fonts/Archivo-400.ttf,01170409e32e22123a354fbaa7dcb5ca5300790bb77c05d569ec8fdc394e78c9
Barlow-400,Barlow,400,sans-serif,49,2025-09-11,data/fonts/Barlow-400.ttf,a35caa4687f434d66453c1fe423d7074cfa9fd7ab80c19b0780f3862887d2fc9
BricolageGrotesque-400,Bricolage Grotesque,400,sans-serif,50,2025-09-11,data/fonts/BricolageGrotesque-400.ttf,b56db40c26850f83ba2ebffa1f7faa01e5ee4e55ac63decee1433de520a38483
